Primary Dataset|Stream
AlCaLowPtJet|ALCALowPtJet
AlCaLumiPixelsCountsExpress|ALCALumiPixelsCountsExpress
AlCaLumiPixelsCountsPrompt|ALCALumiPixelsCountsPrompt
AlCaP0|ALCAP0
AlCaPPSExpress|ALCAPPSExpress
AlCaPPSPrompt|ALCAPPSPrompt
AlCaPhiSym|ALCAPHISYM
BTagMu|PhysicsDispJetBTagMuEGTau
Commissioning|PhysicsCommissioning
Cosmics|PhysicsCommissioning
DQMGPUvsCPU|DQMGPUvsCPU
DQMOnlineBeamspot|DQMOnlineBeamspot
DQMPPSRandom|DQMPPSRandom
DisplacedJet|PhysicsDispJetBTagMuEGTau
EGamma0|PhysicsEGamma0
EGamma1|PhysicsEGamma1
EcalLaser|EcalCalibration
EphemeralHLTPhysics0|PhysicsHLTPhysics0
EphemeralHLTPhysics1|PhysicsHLTPhysics0
EphemeralHLTPhysics2|PhysicsHLTPhysics1
EphemeralHLTPhysics3|PhysicsHLTPhysics1
EphemeralHLTPhysics4|PhysicsHLTPhysics2
EphemeralHLTPhysics5|PhysicsHLTPhysics2
EphemeralHLTPhysics6|PhysicsHLTPhysics3
EphemeralHLTPhysics7|PhysicsHLTPhysics3
EphemeralZeroBias0|PhysicsZeroBias0
EphemeralZeroBias1|PhysicsZeroBias0
EphemeralZeroBias2|PhysicsZeroBias1
EphemeralZeroBias3|PhysicsZeroBias1
EphemeralZeroBias4|PhysicsZeroBias2
EphemeralZeroBias5|PhysicsZeroBias2
EphemeralZeroBias6|PhysicsZeroBias3
EphemeralZeroBias7|PhysicsZeroBias3
EventDisplay|DQMEventDisplay
ExpressAlignment|ExpressAlignment
ExpressPhysics|Express
HLTMonitor|HLTMonitor
HLTPhysics|PhysicsCommissioning
HcalNZS|PhysicsCommissioning
JetMET0|PhysicsJetMET0
JetMET1|PhysicsJetMET1
L1Accept|NanoDST
MonteCarlo|PhysicsCommissioning
Muon0|PhysicsMuon0
Muon1|PhysicsMuon1
MuonEG|PhysicsDispJetBTagMuEGTau
NoBPTX|PhysicsCommissioning
OnlineMonitor|DQM
ParkingDoubleMuonLowMass0|ParkingDoubleMuonLowMass0
ParkingDoubleMuonLowMass1|ParkingDoubleMuonLowMass0
ParkingDoubleMuonLowMass2|ParkingDoubleMuonLowMass1
ParkingDoubleMuonLowMass3|ParkingDoubleMuonLowMass1
ParkingDoubleMuonLowMass4|ParkingDoubleMuonLowMass2
ParkingDoubleMuonLowMass5|ParkingDoubleMuonLowMass2
ParkingDoubleMuonLowMass6|ParkingDoubleMuonLowMass3
ParkingDoubleMuonLowMass7|ParkingDoubleMuonLowMass3
ParkingHH|ParkingHH
ParkingLLP|ParkingLLP
ParkingSingleMuon0|ParkingSingleMuon0
ParkingSingleMuon1|ParkingSingleMuon0
ParkingSingleMuon2|ParkingSingleMuon1
ParkingSingleMuon3|ParkingSingleMuon1
ParkingSingleMuon4|ParkingSingleMuon2
ParkingSingleMuon5|ParkingSingleMuon2
ParkingSingleMuon6|ParkingSingleMuon3
ParkingSingleMuon7|ParkingSingleMuon3
ParkingVBF0|ParkingVBF0
ParkingVBF1|ParkingVBF0
ParkingVBF2|ParkingVBF1
ParkingVBF3|ParkingVBF1
ParkingVBF4|ParkingVBF2
ParkingVBF5|ParkingVBF2
ParkingVBF6|ParkingVBF3
ParkingVBF7|ParkingVBF3
RPCMonitor|RPCMON
ScoutingPFMonitor|PhysicsScoutingPFMonitor
ScoutingPFRun3|ScoutingPF
Tau|PhysicsDispJetBTagMuEGTau
TestEnablesEcalHcal|Calibration
TestEnablesEcalHcalDQM|DQMCalibration
ZeroBias|PhysicsCommissioning
