Primary Dataset,Stream
AlCaLumiPixelsCountsExpress,ALCALumiPixelsCountsExpress
AlCaLumiPixelsCountsPrompt,ALCALumiPixelsCountsPrompt
AlCaP0,ALCAP0
AlCaPhiSym,ALCAPHISYM
Commissioning,PhysicsCommissioning
DQMGPUvsCPU,DQMGPUvsCPU
DQMOnlineBeamspot,DQMOnlineBeamspot
EcalLaser,EcalCalibration
EmptyBX,PhysicsCommissioning
EventDisplay,DQMEventDisplay
ExpressAlignment,ExpressAlignment
ExpressPhysics,Express
HLTMonitor,HLTMonitor
HLTPhysics,PhysicsCommissioning
HcalNZS,PhysicsCommissioning
L1Accept,NanoDST
NoBPTX,PhysicsCommissioning
OnlineMonitor,DQM
PPRefDoubleMuon0,PhysicsPPRefDoubleMuon0
PPRefDoubleMuon1,PhysicsPPRefDoubleMuon1
PPRefDoubleMuon2,PhysicsPPRefDoubleMuon2
PPRefDoubleMuon3,PhysicsPPRefDoubleMuon3
PPRefHardProbes0,PhysicsPPRefHardProbes0
PPRefHardProbes1,PhysicsPPRefHardProbes1
PPRefHardProbes2,PhysicsPPRefHardProbes2
PPRefSingleMuon0,PhysicsPPRefSingleMuon0
PPRefSingleMuon1,PhysicsPPRefSingleMuon1
PPRefSingleMuon2,PhysicsPPRefSingleMuon2
PPRefZeroBiasPlusForward0,PhysicsPPRefZeroBiasPlusForward0
PPRefZeroBiasPlusForward1,PhysicsPPRefZeroBiasPlusForward0
PPRefZeroBiasPlusForward10,PhysicsPPRefZeroBiasPlusForward5
PPRefZeroBiasPlusForward11,PhysicsPPRefZeroBiasPlusForward5
PPRefZeroBiasPlusForward12,PhysicsPPRefZeroBiasPlusForward6
PPRefZeroBiasPlusForward13,PhysicsPPRefZeroBiasPlusForward6
PPRefZeroBiasPlusForward14,PhysicsPPRefZeroBiasPlusForward7
PPRefZeroBiasPlusForward15,PhysicsPPRefZeroBiasPlusForward7
PPRefZeroBiasPlusForward16,PhysicsPPRefZeroBiasPlusForward8
PPRefZeroBiasPlusForward17,PhysicsPPRefZeroBiasPlusForward8
PPRefZeroBiasPlusForward18,PhysicsPPRefZeroBiasPlusForward9
PPRefZeroBiasPlusForward19,PhysicsPPRefZeroBiasPlusForward9
PPRefZeroBiasPlusForward2,PhysicsPPRefZeroBiasPlusForward1
PPRefZeroBiasPlusForward3,PhysicsPPRefZeroBiasPlusForward1
PPRefZeroBiasPlusForward4,PhysicsPPRefZeroBiasPlusForward2
PPRefZeroBiasPlusForward5,PhysicsPPRefZeroBiasPlusForward2
PPRefZeroBiasPlusForward6,PhysicsPPRefZeroBiasPlusForward3
PPRefZeroBiasPlusForward7,PhysicsPPRefZeroBiasPlusForward3
PPRefZeroBiasPlusForward8,PhysicsPPRefZeroBiasPlusForward4
PPRefZeroBiasPlusForward9,PhysicsPPRefZeroBiasPlusForward4
RPCMonitor,RPCMON
SpecialRandom0,PhysicsSpecialRandom0
SpecialRandom1,PhysicsSpecialRandom0
SpecialRandom10,PhysicsSpecialRandom5
SpecialRandom11,PhysicsSpecialRandom5
SpecialRandom12,PhysicsSpecialRandom6
SpecialRandom13,PhysicsSpecialRandom6
SpecialRandom14,PhysicsSpecialRandom7
SpecialRandom15,PhysicsSpecialRandom7
SpecialRandom16,PhysicsSpecialRandom8
SpecialRandom17,PhysicsSpecialRandom8
SpecialRandom18,PhysicsSpecialRandom9
SpecialRandom19,PhysicsSpecialRandom9
SpecialRandom2,PhysicsSpecialRandom1
SpecialRandom3,PhysicsSpecialRandom1
SpecialRandom4,PhysicsSpecialRandom2
SpecialRandom5,PhysicsSpecialRandom2
SpecialRandom6,PhysicsSpecialRandom3
SpecialRandom7,PhysicsSpecialRandom3
SpecialRandom8,PhysicsSpecialRandom4
SpecialRandom9,PhysicsSpecialRandom4
TestEnablesEcalHcal,Calibration
TestEnablesEcalHcalDQM,DQMCalibration
ZeroBias,PhysicsCommissioning
